id,parent_id,leaf,name,label,detail,link,pmid,sort,root_url,sample_url,field_type,keyword_searchable,value_type,version
27,26,True,ANNOVAR_ensembl_Closest_gene(intergenic_only),,"""closest genes if the variant is intergenic. Format: gene ID1:transcript ID1(dist=distance),gene ID2:transcript ID2(dist=distance)""",,,,http://uswest.ensembl.org/Homo_sapiens/Gene/Summary?g=,http://uswest.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000158270,text,True,,
28,26,True,ANNOVAR_ensembl_Effect,,"""ANNOVAR consequence with Ensembl as gene model. Multiple consequences are separated by ""|"" The order corresponds to ANNOVAR_ensembl_Transcript_ID""",,,,,,text,True,,
29,26,True,ANNOVAR_ensembl_Exon_Rank,,"""exon number the variant locates (if applicable) Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_ensembl_Transcript_ID""",,,,,,text,True,,
36,26,True,ANNOVAR_ensembl_Gene_ID,,"""Ensembl gene IDs corresponding to transcripts. Multiple IDs are separated by ""|"" The order corresponds to ANNOVAR_ensembl_Transcript_ID""",,,,http://uswest.ensembl.org/Homo_sapiens/Gene/Summary?g=,http://uswest.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000158270,text,True,,
37,26,True,ANNOVAR_ensembl_HGVSc,,"""variant in format of HGVSc. Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_ensembl_Transcript_ID""",,,,,,text,True,,
38,26,True,ANNOVAR_ensembl_HGVSp,,"""variant in format of HGVSp. Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_ensembl_Transcript_ID""",,,,,,text,True,,
49,26,True,ANNOVAR_ensembl_Transcript_ID,,"""Ensembl transcript IDs corresponding to consequences. Multiple IDs are separated by ""|""""",,,,,,text,True,,
50,26,True,ANNOVAR_ensembl_summary,,"""ANNOVAR consequence summary with Ensembl as gene model. Format: GeneID(total number of transcripts):consequence#1(number of transcripts affected) consequence#2(number of transcripts affected)... Multiple genes are separated by ""|""""",,,,,,text,True,,
31,26,True,ANNOVAR_ensembl_GO_biological_process_complete_list_id,ANNOVAR ensembl GO biological process complete,"The complete GO biological process annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
33,26,True,ANNOVAR_ensembl_GO_cellular_component_complete_list_id,ANNOVAR ensembl GO cellular component complete,"The complete GO cellular component annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
35,26,True,ANNOVAR_ensembl_GO_molecular_function_complete_list_id,ANNOVAR ensembl GO molecular function complete,"The complete GO molecular function annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO database released 2024-06-17, DOI: 10.5281/zenodo.12173881"
40,26,True,ANNOVAR_ensembl_PANTHER_GO_SLIM_biological_process_list_id,ANNOVAR ensembl PANTHER GO-Slim Biological Process,"The PANTHER GO-Slim Biological Process annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
42,26,True,ANNOVAR_ensembl_PANTHER_GO_SLIM_cellular_component_list_id,ANNOVAR ensembl PANTHER GO-Slim Cellular Component,"The PANTHER GO-Slim Cellular Component annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
44,26,True,ANNOVAR_ensembl_PANTHER_GO_SLIM_molecular_function_list_id,ANNOVAR ensembl PANTHER GO-Slim Molecular Function,"The PANTHER GO-Slim Molecular Function annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
627,26,True,ANNOVAR_ensembl_PANTHER_protein_class_list_id,ANNOVAR ensembl PANTHER Protein Class,"The PANTHER Protein Class annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of PANTHER Protein Class terms from all genes is shown here.",,,,https://pantherdb.org/panther/category.do?categoryAcc=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
46,26,True,ANNOVAR_ensembl_PANTHER_pathway_list_id,ANNOVAR ensembl PANTHER Pathways,"The PANTHER pathway annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of PANTHER Pathways from all genes is shown here.",,,,https://pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
48,26,True,ANNOVAR_ensembl_REACTOME_pathway_list_id,ANNOVAR ensembl Reactome pathways,"The Reactome Pathway annotations queried through PANTHER API for IDs corresponding to ANNOVAR_ensembl_Gene_ID column. If there is more than one gene ID, a non-redundant list of Reactome Pathways from all genes is shown here.",,,,https://reactome.org/PathwayBrowser/#/,,text,True,term_id,"Reactome database version 86, released 2023-09-07"
51,26,True,ANNOVAR_refseq_Closest_gene(intergenic_only),,"""closest genes if the variant is intergenic. Format: gene ID1:transcript ID1(dist=distance),gene ID2:transcript ID2(dist=distance)""",,,,,,text,True,,
52,26,True,ANNOVAR_refseq_Effect,,"""ANNOVAR consequence with RefSeq as gene model. Multiple consequences are separated by ""|"" The order corresponds to ANNOVAR_refseq_Transcript_ID""",,,,,,text,True,,
53,26,True,ANNOVAR_refseq_Exon_Rank,,"""exon number the variant locates (if applicable) Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_refseq_Transcript_ID""",,,,,,text,True,,
